Column1,Tensorflow,quản lý ngân sách,chỉnh sửa video,Giải quyết vấn đề,Google Analytics,Quản lý kênh Youtube,Xây dựng quy trình quản lý,Windows Server,Network security,vf17.1,vf17.2,sản xuất nội dung,Quản lý,Phát triển sản phẩm,Docker,Thiết kế nội dung,Quản lý hồ sơ bảo hiểm,MySQL,quản lý đối tác,Hỗ trợ khách hàng,Sử dụng phần mềm kế toán,sử dụng công cụ quảng cáo trên mạng,Bình Thạnh,theo dõi chi phí,vf20.1,Quản lý kênh truyền thông xã hội,vf20.2,Soạn thảo bài viết,Google Adwords,Xử lý các thủ tục vay vốn,chỉnh sửa hình ảnh,Sử dụng máy tính,Sử dụng phần mềm thiết kế mạch điện tử,Kiến thức về sản phẩm,Tạo nội dung kỹ thuật số,tạo mẫu,SEO,Kỹ năng giải quyết vấn đề,Điều khiển tự động,Quận Gò Vấp,Dựng phim,vf16.1,vf16.2,Thương lượng và ký kết hợp đồng,Thủ Đức,Kỹ năng bảo trì,R,kỹ thuật quay phim,Kỹ năng bán hàng,NLP,Facebook Ads,Solidity,Agile,Tối ưu hóa nội dung,Giải đáp thắc mắc khách hàng,Java,email và chat,Google Cloud Platform,Viết lách,tư vấn khách hàng,SQL Server,Đưa ra phương án phát triển sản phẩm mới,Statistics,phát triển hệ thống bán lẻ,sắp xếp các cuộc họp,Adobe Photoshop,Kiểm tra thiết bị điện tử,Sáng tạo nội dung,Tự động hóa,Quản lý văn phòng,Quản lý truyền thông,Lập kế hoạch kinh doanh,Sketch,Đối chiếu số liệu,Testing methodologies,Remote support,Làm phim tài liệu,Quay phim,Phát triển sản phẩm điện tử,viết nội dung truyền thông,thiết kế đồ họa,Project management,vf15.1,vf15.2,Database tuning,Tính toán chi phí,Troubleshooting,Cơ khí,đề xuất nội dung,Tính toán,Cài đặt và bảo trì hệ thống mạng,Thiết kế mạch điện tử,vf5.1,Chụp ảnh,vf5.2,Documentation,Incident response,Phóng viên,quay phim.1,Active Directory,quản lý hồ sơ khách hàng,Thuyết phục,quản lý quảng cáo,quảng cáo sản phẩm,Linux,Lãnh đạo,phát triển hệ thống PR,Virtualization,Quận Phú Nhuận,Hệ thống điện tử,Quận Bình Chánh,vf14.1,vf14.2,phát triển trang web,Tư vấn tín dụng,Điện tử,Giao dịch tại quầy,Marketing trực tuyến,kịch bản,Giao tiếp,Kỹ năng thuyết trình,Network configuration,quản lý sự kiện,Scrum,Oracle,AWS,Quản lý tài chính,Adobe Creative Suite,xây dựng chiến lược,Quận Thủ Đức,Kỹ năng đàm phán,Content management,Soạn thảo văn bản,Tổ chức lịch làm việc,vf4.2,Tính toán thuế,Kỹ năng phân tích thị trường,sử dụng phần mềm kế toán.1,Scikit-learn,vf4.1,quảng bá thương hiệu,Kỹ năng lãnh đạo,nghiên cứu sản phẩm,React Native,Photoshop,Robot,Kỹ năng quản lý nhân sự,Biên tập ảnh,Kỹ năng lắp đặt,Xây dựng chiến lược.1,Quản lý tài liệu,vf13.1,vf13.2,Tư vấn khách hàng.1,Xử lý nhanh chóng thông tin khách hàng,sử dụng phần mềm bán hàng,viết báo cáo,Đào tạo nhân viên,Penetration testing,sản xuất nội dung số,Tư vấn bảo hiểm,Kế hoạch hóa,Quận Tân Phú,Sử dụng phần mềm CRM,Tư vấn sản phẩm,Kỹ năng quản lý tài chính,phân tích thị trường,vf7.1,vf7.2,Bug tracking,đo lường hiệu quả,Kỹ năng quảng cáo,Tổ chức sự kiện,xử lý thông tin khách hàng,Big Data,Kỹ năng giao tiếp,Hyperledger Fabric,Quận Bình Tân,Tính toán tài chính,Swift,đánh giá chất lượng,Kỹ năng sử dụng máy tính,vf12.1,Kỹ năng quản lý dự án,vf12.2,Phát triển khách hàng,Kỹ năng tiếp thị,Quận Bình Thạnh,Biên tập,Quảng cáo truyền thông,thiết kế logo,Quản lý đối tác.1,Machine Learning,Phát triển chiến lược,Lập trình vi điều khiển,nghiên cứu thị trường,Tìm hiểu nhu cầu khách hàng,Wireframing,Phân tích thị trường địa phương,Ethereum,Budgeting,phân tích khách hàng,quản lý quảng cáo trực tuyến,vf6.2,Quản lý dự án,Phát triển web,vf6.1,phục vụ khách hàng,Thiết kế sản phẩm,Quản lý hoạt động chi nhánh,Hỗ trợ khách hàng qua điện thoại,Kotlin,Quản lý đội ngũ nhân viên,Adobe Illustrator,Kỹ năng tuyển dụng,Smart Contract,Lắp ráp,Tương tác con người,xử lý văn bản,sử dụng phần mềm văn phòng,tìm kiếm khách hàng,ETL,Điện tử công suất,Kiểm tra hồ sơ khách hàng,Đánh giá tín dụng,Quận 11,vf11.1,Quận 10,vf11.2,Phân tích thị trường.1,Quận 12,vf19.1,vf19.2,NodeJS,Sửa chữa điện tử,Viễn thông,Kỹ năng sử dụng phần mềm kế toán,xây dựng hệ thống PR,Xử lý yêu cầu của khách hàng,thiết kế bao bì,Javascript,Biên tập âm thanh,Nghiên cứu văn bản pháp luật,Selenium,Python,xây dựng chiến lược Marketing,Gò Vấp,vf9.1,Azure,vf9.2,Dịch thuật,Viết kịch bản,Thiết kế trang web,SQL,Jenkins,Tiếng Anh giao tiếp,Test automation,Helpdesk,HTML/CSS/Javascript,tìm kiếm từ khóa,Tiếng Nhật,quản lý tài chính.1,Prototyping,Kỹ năng tổ chức công việc,Quận Tân Bình,vf10.1,Kỹ năng sửa chữa,vf10.2,chỉnh sửa văn bản,Technical writing,Quản lý nội dung website,Editing,vf18.1,nghiên cứu khách hàng,vf18.2,Quản lý nhân sự,Thiết bị điện tử,Hướng dẫn sử dụng sản phẩm ngân hàng,Thiết kế đồ họa.1,Xử lý tình huống,Marketing nội dung,Phân tích tài chính,Quận 7,Quận 8,vf8.2,Quận 9,Quận 3,Kỹ năng làm việc nhóm,vf8.1,Quận 4,Quận 5,Kỹ năng lập trình,Quận 6,Tiếng Anh,Quận 1,quản lý dự án.1,đưa ra ý kiến ​​pháp lý,Quận 2,tạo nội dung,React,Công nghệ thông tin,HTML/CSS,Tìm kiếm khách hàng tiềm năng,quảng cáo trực tuyến,Kubernetes,thiết kế âm thanh
Nhân viên kinh doanh,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lập trình viên,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhân viên bán hàng,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quản lý dự án,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kế toán,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhân viên kỹ thuật,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nhân viên marketing,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhân viên nhân sự,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhân viên văn phòng,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nhân viên kinh doanh,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
